週別_週別,統計 日期_統計 日期,當週股價_收盤,當週股價_漲跌 (元),當週股價_漲跌 (%),集保 庫存 (萬張)_集保 庫存 (萬張),各持股等級股東之持有比例(%)_≦10張,各持股等級股東之持有比例(%)_＞10張 ≦50張,各持股等級股東之持有比例(%)_＞50張 ≦100張,各持股等級股東之持有比例(%)_＞100張 ≦200張,各持股等級股東之持有比例(%)_＞200張 ≦400張,各持股等級股東之持有比例(%)_＞400張 ≦800張,各持股等級股東之持有比例(%)_＞800張 ≦1千張,各持股等級股東之持有比例(%)_＞1千張,各持股等級股東之持有比例(%),各持股等級股東之持有比例(%),各持股等級股東之持有比例(%),各持股等級股東之持有比例(%),各持股等級股東之持有比例(%),各持股等級股東之持有比例(%),各持股等級股東之持有比例(%),各持股等級股東之持有比例(%),各持股等級股東之持有比例(%)
25W03,01/17,124,+1,+0.81,775.7,7.09,7.92,3.27,1.66,1.21,1.18,0.46,77.2,,,,,,,,,
25W02,01/10,123,+0.5,+0.41,775.7,7.09,7.92,3.27,1.66,1.19,1.19,0.45,77.2,,,,,,,,,
25W01,01/03,122.5,-2,-1.61,775.7,7.09,7.92,3.28,1.66,1.16,1.19,0.48,77.2,,,,,,,,,
24W52,12/27,124.5,+1.5,+1.22,775.7,7.06,7.9,3.27,1.66,1.13,1.22,0.49,77.3,,,,,,,,,
24W51,12/20,123,-0.5,-0.4,775.7,7.07,7.9,3.26,1.66,1.15,1.21,0.51,77.2,,,,,,,,,
24W50,12/13,123.5,-1,-0.8,775.7,7.07,7.9,3.26,1.65,1.16,1.19,0.52,77.2,,,,,,,,,
24W49,12/06,124.5,+1.5,+1.22,775.7,7.07,7.9,3.26,1.66,1.16,1.17,0.54,77.2,,,,,,,,,
24W48,11/29,123,0,0,775.7,7.09,7.91,3.27,1.67,1.19,1.14,0.54,77.2,,,,,,,,,
24W47,11/22,123,+0.5,+0.41,775.7,7.13,7.93,3.28,1.67,1.17,1.16,0.53,77.1,,,,,,,,,
24W46,11/15,122.5,-0.5,-0.41,775.7,7.14,7.93,3.28,1.66,1.16,1.19,0.53,77.1,,,,,,,,,
24W45,11/08,123,+1,+0.82,775.7,7.15,7.95,3.28,1.68,1.17,1.16,0.56,77.1,,,,,,,,,
24W44,11/01,122,0,0,775.7,7.15,7.95,3.28,1.67,1.18,1.16,0.63,77,,,,,,,,,
24W43,10/25,122,-2,-1.61,775.7,7.14,7.94,3.27,1.66,1.17,1.14,0.63,77,,,,,,,,,
24W42,10/18,124,+1.5,+1.22,775.7,7.08,7.87,3.25,1.65,1.17,1.15,0.55,77.3,,,,,,,,,
24W41,10/11,122.5,-2,-1.61,775.7,7.04,7.84,3.24,1.63,1.16,1.13,0.55,77.4,,,,,,,,,
24W40,10/04,124.5,-2,-1.58,775.7,6.99,7.76,3.21,1.61,1.19,1.06,0.58,77.6,,,,,,,,,
24W39,09/27,126.5,+0.5,+0.4,775.7,6.99,7.77,3.2,1.61,1.15,1.08,0.53,77.7,,,,,,,,,
24W38,09/20,126,+1.5,+1.2,775.7,7.08,7.84,3.24,1.62,1.14,1.07,0.54,77.5,,,,,,,,,
24W37,09/13,124.5,+0.5,+0.4,775.7,7.12,7.87,3.24,1.62,1.16,1.07,0.55,77.4,,,,,,,,,
24W36,09/06,124,0,0,775.7,7.14,7.89,3.25,1.62,1.15,1.1,0.54,77.3,,,,,,,,,
24W35,08/30,124,0,0,775.7,7.14,7.89,3.24,1.63,1.13,1.13,0.55,77.3,,,,,,,,,
24W34,08/23,124,0,0,775.7,7.15,7.89,3.24,1.63,1.14,1.11,0.52,77.3,,,,,,,,,
24W33,08/16,124,+2,+1.64,775.7,7.19,7.91,3.24,1.63,1.15,1.09,0.51,77.3,,,,,,,,,
24W32,08/09,122,-1,-0.81,775.7,7.23,7.94,3.25,1.63,1.15,1.12,0.53,77.1,,,,,,,,,
24W31,08/02,123,+0.5,+0.41,775.7,7.28,7.97,3.27,1.64,1.13,1.14,0.55,77,,,,,,,,,
24W30,07/26,122.5,+1.5,+1.24,775.7,7.28,7.96,3.27,1.62,1.12,1.13,0.53,77.1,,,,,,,,,
24W29,07/19,121,+2.5,+2.11,775.7,7.34,7.92,3.19,1.6,1.15,1.13,0.56,77.1,,,,,,,,,
24W28,07/12,118.5,-1.5,-1.25,775.7,7.36,7.96,3.2,1.6,1.19,1.08,0.58,77,,,,,,,,,
24W27,07/05,120,-5.5,-4.38,775.7,7.2,7.87,3.15,1.56,1.14,1.07,0.55,77.5,,,,,,,,,
24W26,06/28,125.5,0,0,775.7,6.86,7.67,3.09,1.52,1.15,1.07,0.55,78.1,,,,,,,,,
