月別_月別_月別,當月股價_開盤_開盤,當月股價_收盤_收盤,當月股價_最高_最高,當月股價_最低_最低,當月股價_漲跌(元)_漲跌(元),當月股價_漲跌(%)_漲跌(%),營業收入_單月_營收(億),營業收入_單月_月增(%),營業收入_單月_年增(%),營業收入_累計_營收(億),營業收入_累計_年增(%),合併營業收入_單月_營收(億),合併營業收入_單月_月增(%),合併營業收入_單月_年增(%),合併營業收入_累計_營收(億),合併營業收入_累計_年增(%)
,,,,,,,,,,,,,,,,
2024/12,123.5,123.5,125,123,+0.5,+0.41,250.1,+23.6,+12.7,"2,300",+3.05,250.1,+23.6,+12.7,"2,300",+3.05
2024/11,122,123,124.5,121.5,+1,+0.82,202.3,+0.53,-0.01,"2,050",+1.99,202.3,+0.53,-0.01,"2,050",+1.99
2024/10,125.5,122,126,121.5,-3.5,-2.79,201.2,+3.24,+3.46,"1,848",+2.22,201.2,+3.24,+3.46,"1,848",+2.22
2024/09,124,125.5,127.5,122,+1.5,+1.21,194.9,+6.15,+5.32,"1,647",+2.07,194.9,+6.15,+5.32,"1,647",+2.07
2024/08,122,124,125,119.5,+2.5,+2.06,183.6,+3.28,+4.07,"1,452",+1.64,183.6,+3.28,+4.07,"1,452",+1.64
2024/07,126,121.5,127,118,-4,-3.19,177.7,-1.85,+1.43,"1,268",+1.3,177.7,-1.85,+1.43,"1,268",+1.3
2024/06,127.5,125.5,128,125,-2.5,-1.95,181.1,+0.14,-2.93,"1,091",+1.28,181.1,+0.14,-2.93,"1,091",+1.28
2024/05,124,128,128,123.5,+4,+3.23,180.8,+0.84,+1.97,909.5,+2.17,180.8,+0.84,+1.97,909.5,+2.17
2024/04,126,124,127,122.5,-2,-1.59,179.3,-2.24,+4.97,728.7,+2.21,179.3,-2.24,+4.97,728.7,+2.21
2024/03,120.5,126,127,120.5,+5.5,+4.56,183.4,-1.79,-0.93,549.4,+1.35,183.4,-1.79,-0.93,549.4,+1.35
2024/02,119,120.5,123,119,+1.5,+1.26,186.7,+4.16,+4.13,366,+2.53,186.7,+4.16,+4.13,366,+2.53
2024/01,120,119,121,118.5,-1,-0.83,179.3,-19.2,+0.92,179.3,+0.92,179.3,-19.2,+0.92,179.3,+0.92
2023/12,119,120,122.5,117.5,+0.5,+0.42,221.9,+9.7,+5.87,"2,232",+2.98,221.9,+9.7,+5.87,"2,232",+2.98
2023/11,116,119.5,121,115.5,+3.5,+3.02,202.3,+4.04,+4.76,"2,010",+2.67,202.3,+4.04,+4.76,"2,010",+2.67
2023/10,116.5,116,117,115,0,0,194.4,+5.09,+1.11,"1,808",+2.44,194.4,+5.09,+1.11,"1,808",+2.44
2023/09,116,116,118,116,0,0,185,+4.9,-2.55,"1,613",+2.6,185,+4.9,-2.55,"1,613",+2.6
2023/08,116,116,118.5,116,0,0,176.4,+0.66,+1.72,"1,428",+3.31,176.4,+0.66,+1.72,"1,428",+3.31
2023/07,116.5,116,117,114,-0.5,-0.43,175.2,-6.07,+1.95,"1,252",+3.53,175.2,-6.07,+1.95,"1,252",+3.53
,,,,,,,,,,,,,,,,
2023/06,125.5,116.5,126,116,-9.5,-7.54,186.5,+5.21,+7.28,"1,077",+3.8,186.5,+5.21,+7.28,"1,077",+3.8
2023/05,126.5,126,128,124.5,-1,-0.79,177.3,+3.8,+1.62,890.2,+3.1,177.3,+3.8,+1.62,890.2,+3.1
2023/04,120,127,127,119.5,+7.5,+6.28,170.8,-7.74,-2.96,712.9,+3.47,170.8,-7.74,-2.96,712.9,+3.47
2023/03,115.5,119.5,120.5,114.5,+4,+3.46,185.1,+3.23,+6.86,542.1,+5.68,185.1,+3.23,+6.86,542.1,+5.68
2023/02,112.5,115.5,116,111.5,+3,+2.67,179.3,+0.95,+8.32,357,+5.08,179.3,+0.95,+8.32,357,+5.08
2023/01,113,112.5,115.5,111.5,-0.5,-0.44,177.6,-15.2,+1.99,177.6,+1.99,177.6,-15.2,+1.99,177.6,+1.99
2022/12,114,113,114,110.5,-0.5,-0.44,209.6,+8.56,-7.77,"2,167",+2.97,209.6,+8.56,-7.77,"2,167",+2.97
2022/11,110.5,113.5,114,107,+2.5,+2.25,193.1,+0.41,+5.84,"1,958",+4.27,193.1,+0.41,+5.84,"1,958",+4.27
2022/10,113,111,113.5,105.5,-3,-2.63,192.3,+1.28,+1.63,"1,765",+4.1,192.3,+1.28,+1.63,"1,765",+4.1
2022/09,121,114,122,113.5,-7,-5.79,189.9,+9.51,+9.82,"1,572",+4.42,189.9,+9.51,+9.82,"1,572",+4.42
2022/08,122.5,121,126,120,-0.5,-0.41,173.4,+0.88,+1.77,"1,383",+3.71,173.4,+0.88,+1.77,"1,383",+3.71
2022/07,122,121.5,129.5,117.5,-0.5,-0.41,171.8,-1.16,+3.76,"1,209",+4,171.8,-1.16,+3.76,"1,209",+4
2022/06,126.5,122,130.5,121,-5,-3.94,173.9,-0.33,+2.73,"1,037",+4.04,173.9,-0.33,+2.73,"1,037",+4.04
2022/05,130,127,130.5,123.5,-4,-3.05,174.5,-0.88,+6.79,863.4,+4.3,174.5,-0.88,+6.79,863.4,+4.3
2022/04,126.5,131,132.5,126,+4,+3.15,176,+1.6,+7.72,689,+3.69,176,+1.6,+7.72,689,+3.69
2022/03,125,127,128,120,+2.5,+2.01,173.2,+4.64,+6.77,512.9,+2.38,173.2,+4.64,+6.77,512.9,+2.38
2022/02,118,124.5,126,117.5,+7,+5.96,165.5,-4.94,-1.2,339.7,+0.27,165.5,-4.94,-1.2,339.7,+0.27
2022/01,116.5,117.5,118,114.5,+1,+0.86,174.2,-23.4,+1.73,174.2,+1.73,174.2,-23.4,+1.73,174.2,+1.73
,,,,,,,,,,,,,,,,
2021/12,112,116.5,117,112,+4.5,+4.02,227.3,+24.6,-7.56,"2,105",+1.38,227.3,+24.6,-7.56,"2,105",+1.38
2021/11,111,112,115,110,+1.5,+1.36,182.4,-3.58,+0.32,"1,878",+2.58,182.4,-3.58,+0.32,"1,878",+2.58
2021/10,110.5,110.5,112,110,0,0,189.2,+9.44,+13.2,"1,695",+2.83,189.2,+9.44,+13.2,"1,695",+2.83
2021/09,112,110.5,112.5,110,-1.5,-1.34,172.9,+1.48,-8.39,"1,506",+1.65,172.9,+1.48,-8.39,"1,506",+1.65
